"KUNTANRO";"KUNTANIMIFI";"KUNTANIMISV";"KUNTAMUOTO";"KIELISYYS";"VAALIPIIRINRO";"VAALIPIIRIFI";"VAALIPIIRISV";"MAAKUNTANRO";"MAAKUNTANIMIFI";"MAAKUNTANIMISV"
"005";"Alajärvi";"Alajärvi";"Kaupunki";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"009";"Alavieska";"Alavieska";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"010";"Alavus";"Alavo";"Kaupunki";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"016";"Asikkala";"Asikkala";"Kunta";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";6;"Päijät-Häme";"Päijänne-Tavastland"
"018";"Askola";"Askola";"Kunta";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"019";"Aura";"Aura";"Kunta";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"020";"Akaa";"Akas";"Kaupunki";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"035";"Brändö";"Brändö";"Kunta";"ruotsi";5;"Ahvenanmaan maakunnan vaalipiiri";"Landskapet Ålands valkrets";19;"Ahvenanmaa";"Åland"
"043";"Eckerö";"Eckerö";"Kunta";"ruotsi";5;"Ahvenanmaan maakunnan vaalipiiri";"Landskapet Ålands valkrets";19;"Ahvenanmaa";"Åland"
"046";"Enonkoski";"Enonkoski";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";9;"Etelä-Savo";"Södra Savolax"
"047";"Enontekiö";"Enontekis";"Kunta";"suomi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"049";"Espoo";"Esbo";"Kaupunki";"suomi - ruotsi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"050";"Eura";"Eura";"Kunta";"suomi";4;"Satakunnan vaalipiiri";"Satakunta valkrets";3;"Satakunta";"Satakunta"
"051";"Eurajoki";"Euraåminne";"Kunta";"suomi";4;"Satakunnan vaalipiiri";"Satakunta valkrets";3;"Satakunta";"Satakunta"
"052";"Evijärvi";"Evijärvi";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"060";"Finström";"Finström";"Kunta";"ruotsi";5;"Ahvenanmaan maakunnan vaalipiiri";"Landskapet Ålands valkrets";19;"Ahvenanmaa";"Åland"
"061";"Forssa";"Forssa";"Kaupunki";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";4;"Kanta-Häme";"Egentliga Tavastland"
"062";"Föglö";"Föglö";"Kunta";"ruotsi";5;"Ahvenanmaan maakunnan vaalipiiri";"Landskapet Ålands valkrets";19;"Ahvenanmaa";"Åland"
"065";"Geta";"Geta";"Kunta";"ruotsi";5;"Ahvenanmaan maakunnan vaalipiiri";"Landskapet Ålands valkrets";19;"Ahvenanmaa";"Åland"
"069";"Haapajärvi";"Haapajärvi";"Kaupunki";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"071";"Haapavesi";"Haapavesi";"Kaupunki";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"072";"Hailuoto";"Karlö";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"074";"Halsua";"Halso";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";15;"Keski-Pohjanmaa";"Mellersta Österbotten"
"075";"Hamina";"Fredrikshamn";"Kaupunki";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";7;"Kymenlaakso";"Kymmenedalen"
"076";"Hammarland";"Hammarland";"Kunta";"ruotsi";5;"Ahvenanmaan maakunnan vaalipiiri";"Landskapet Ålands valkrets";19;"Ahvenanmaa";"Åland"
"077";"Hankasalmi";"Hankasalmi";"Kunta";"suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"078";"Hanko";"Hangö";"Kaupunki";"suomi - ruotsi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"079";"Harjavalta";"Harjavalta";"Kaupunki";"suomi";4;"Satakunnan vaalipiiri";"Satakunta valkrets";3;"Satakunta";"Satakunta"
"081";"Hartola";"Gustav Adolfs";"Kunta";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";6;"Päijät-Häme";"Päijänne-Tavastland"
"082";"Hattula";"Hattula";"Kunta";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";4;"Kanta-Häme";"Egentliga Tavastland"
"086";"Hausjärvi";"Hausjärvi";"Kunta";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";4;"Kanta-Häme";"Egentliga Tavastland"
"090";"Heinävesi";"Heinävesi";"Kunta";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";11;"Pohjois-Karjala";"Norra Karelen"
"091";"Helsinki";"Helsingfors";"Kaupunki";"suomi - ruotsi";1;"Helsingin vaalipiiri";"Helsingfors valkrets";1;"Uusimaa";"Nyland"
"092";"Vantaa";"Vanda";"Kaupunki";"suomi - ruotsi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"097";"Hirvensalmi";"Hirvensalmi";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";9;"Etelä-Savo";"Södra Savolax"
"098";"Hollola";"Hollola";"Kunta";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";6;"Päijät-Häme";"Päijänne-Tavastland"
"102";"Huittinen";"Vittis";"Kaupunki";"suomi";4;"Satakunnan vaalipiiri";"Satakunta valkrets";3;"Satakunta";"Satakunta"
"103";"Humppila";"Humppila";"Kunta";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";4;"Kanta-Häme";"Egentliga Tavastland"
